id,name,city,score,number_of_products
3016,تجارت الکترونیک ایران,تبریز,5,1
3017,مارلیک شاپ,رشت,5,1
3018,آمل موبایل,آمل,5,2
3019,آرتین,تهران,5,1
3020,لنگه شاپ,بندرلنگه,5,2
3021,آتیه کالا,تکاب,5,2
3022,کیوپ,شیراز,5,1
3023,ایلیار کالا (عمده فروشی),تبریز,5,2
3024,دیجی زرین,اسلام شهر,5,1
3025,پارساکم,تهران,5,2
3026,ایده برتر پارسیان,تهران,5,1
3027,سپاکو تجارت ارکا,تهران,5,1
3028,دلتوس,تهران,5,3
3029,موبایل پازل,رشت,5,1
3030,موبی بای شاپ,تهران,5,1
3031,فروشگاه ۱۴۰۱,تهران,5,1
3032,مالتینا,فردیس,5,4
3033,سیب طلایی,دره شهر,5,1
3034,اپل 360,تهران,5,2
3035,شمشاد,تهران,5,1
3036,چارسو پلاس,اصفهان,5,1
3037,هوم تل,سامان,5,1
3038,تاج کالا,تفرش,5,1
3039,سانادل,تهران,5,1
3040,ستاره خلیج فارس,دشتی,5,1
3041,سلطانیه,جم,5,3
3042,نوآور,تهران,5,1
3043,سفیر کالا,تهران,5,1
3044,دلنیاکالا,,5,1
3045,راشا فرتاک,زنجان,5,1
3046,آلیار,تبریز,5,2
3047,کالا7,زابل,5,1
3048,شاپ ام آی تی,تهران,5,1
3049,ای بای,تهران,5,1
3050,دیجیتالی مارکت,تهران,5,1
3051,شیائومی فارسی,شیراز,5,1
3052,سیبینو,شمیرانات,5,1
3053,اونیکس استایل,اهواز,5,1
3054,هيراماركت,بانه,5,2
3055,آقای گوشی,قم,5,1
3056,بهساکالا,تهران,5,1
3057,راوین دیجی,تهران,5,2
3058,ویو,تهران,5,1
3059,دیجی لیان,بندردیر,5,1
3060,دیجی تیپ تاپ,تبریز,5,1
3061,آماترا,لار,5,1
3062,اصلی کالا,بانه,5,1
2307,تیمچه,تهران,2,122
2308,وینی لند,رشت,4,41
2309,ویترین دیجیتال,تهران,5,92
2310,میلانو,,5,39
2311,دیجی بروز,تبریز,5,96
2312,ایرانی دیجیتال,شهرضا,5,55
2313,فونر,تهران,5,68
2314,یاس کالا جهرم,جهرم,5,51
2315,درناتل,خمینی شهر,5,17
2316,دارسو,تهران,5,88
2317,همراه غرب,تهران,4,68
2318,رایان‌مارت,رشت,5,54
2319,واریان شاپ,تهران,5,38
2320,ایسل,اصفهان,5,68
2321,موبایل 140,تهران,5,97
2322,تکنولایف,تهران,5,108
2323,فورشاپ,تهران,5,38
2324,تیمیلو,نمین,5,32
2325,می مالز,کبودرآهنگ,5,30
2326,موبوتک,تهران,5,36
2327,آوند موبایل,تهران,5,89
2328,ایرانی کال,تهران,5,5
2329,ماکان پلاس,تهران,5,51
2330,دیجی 2030,تبریز,5,100
2331,تل استار,تهران,5,96
2332,رایان صبا,تهران,5,27
2333,کالا فراتل,تهران,5,64
2334,رنگین شاپ,اصفهان,5,95
2335,یاس ارتباط,تهران,5,47
2336,طراحان آی تی,شیراز,5,25
2337,موبایل یاران,تهران,5,82
2338,کالاتیک,تهران,5,48
2339,آویژه,شهر کرد,5,21
2340,پاساژی,تهران,5,39
2341,کشوری کالا,مشهد,5,46
2342,ویستا,تهران,5,45
2343,آداک 24,تهران,5,83
2344,موبایل یوسفی,مشهد,5,76
2345,جیجی مارکت,تهران,5,55
2346,دامون کالا,سمنان,5,68
2347,گوشی لایف,تهران,5,77
2348,دیجی دو,تهران,5,115
2349,فون پرو,تبریز,5,72
2350,چیپکو,تبریز,5,60
2351,رایفون,تهران,5,82
2352,خاص باکس,مشهد,5,168
2353,آرمیا موبایل,,5,27
2354,موبایل امارات,پیرانشهر,5,42
2355,موبایل پی سی,اردکان,5,18
2356,آی دیجیتال بورس,تهران,5,29
2357,19 کالا,تهران,3,26
2358,گوشی شاپ,تهران,5,79
2359,لیپک,تهران,5,71
2360,باغ کالا,تهران,5,81
2361,یارانیک,شیراز,5,36
2362,دیجیسنتر,تهران,5,82
2363,پیکسل موبایل,شیراز,5,31
2364,پاییزان کالا,تهران,5,50
2365,دیجی‌چی,تهران,5,67
2366,ایسام,تهران,4,225
2367,مشهد کالا,مشهد,5,116
2368,قسطی کلاب,تهران,5,101
2369,مبیت,کرمان,5,91
2370,فی موبایل,مشهد,5,58
2371,اتما,تهران,5,10
2372,بای صد,اسلام آبادغرب,5,57
2373,بیست تل موبایل,تهران,5,68
2374,هنرمندان,تهران,5,81
2375,زحل مارکت,شیراز,5,86
2376,آل دیجیتال,کرمان,5,98
2377,می باز,گچساران,5,8
2378,موبایل مظاهری,اصفهان,5,10
2379,هدف,اصفهان,5,80
2380,سی تی مهر,ری,5,21
2381,کاوش تیم,تهران,5,31
2382,رادمان کالا,مشهد,5,52
2383,لیامتل,تهران,5,56
2384,برتر دیجیتال,تبریز,5,66
2385,مادیکا,قزوین,5,82
2386,همراه گنجینه,تبریز,5,80
2387,موبایل سینو,قم,5,32
2388,مقداد آی تی,تهران,3,116
2389,پی بی 360,تهران,5,31
2390,ای فردا,کرج,5,48
2391,تکنوکده,اصفهان,5,30
2392,سیار سیستم,تبریز,5,3
2393,رجاتل,اصفهان,5,80
2394,سریر دیجیتال,تهران,5,75
2395,آداک,تهران,4,103
2396,باآراد,تهران,5,50
2397,ویت موب,تهران,5,65
2398,آرتل,تهران,5,54
2399,دیجی مکس تل,تهران,5,34
2400,به فی,تهران,5,44
2401,تپ تیز,مشهد,5,18
2402,ویراهمراه دماوند,,5,19
2403,همراه طلایی,شهر کرد,5,20
2404,آیشیک,تهران,5,78
2405,آرازتل,تهران,5,75
2406,آی تی رایان,بوشهر,5,7
2407,آرتینار,شیراز,5,43
2408,الوشیائومی,قم,5,10
2409,رهاموب,اصفهان,5,70
2410,سپتی,تهران,5,33
2411,اتصالات,تهران,5,61
2412,الزهرا,تهران,5,56
2413,گوشی زون,تهران,5,3
2414,خورشید ارتباطات پارتاک,اصفهان,5,23
2415,سیب تل,کیاشهر,5,15
2416,نورنگار,تهران,5,51
2417,دیدنگار,تهران,3,51
2418,دوپلینو,رشت,5,17
2419,موب باز شاپ,اهواز,5,9
2420,باسلام,قم,5,89
2421,استور ایفون,,5,52
2422,ای تی لند,تنکابن,5,45
2423,پارس شیائومی,تهران,5,10
2424,آترامارت,تهران,5,94
2425,موبوتل,تهران,5,6
2426,پارس الکانپ,تهران,5,52
2427,الیسا تل,تهران,5,25
2428,دیجی زود,,5,76
2429,وست دیجیتال,,5,1
2430,کاوین,مهاباد,5,5
2431,همراه موج,تهران,5,60
2432,جم استور,اصفهان,5,32
2433,نامی نت,تهران,5,76
2434,شاپ . آی آر,تهران,5,59
2435,فرا استور,بوکان,5,77
2436,موبایل ۳۷,تهران,5,7
2437,سین شاپ,تهران,5,82
2438,روژمارک,بوکان,5,20
2439,هستش,تهران,5,63
2440,دیجی سا,تهران,5,87
2441,هدیش,شیراز,5,97
2442,آریا اسمارت,تهران,5,74
2443,رُهام تل,اصفهان,5,76
2444,سی تل,اصفهان,5,56
2445,دیجی پارس,قم,5,52
2446,سایمان دیجیتال,تبریز,5,112
2447,کوک موبایل,تهران,5,36
2448,نود و نه موبایل,سلماس,5,41
2449,سورین همراه,تهران,5,85
2450,موبیل,تهران,5,90
2451,داریتو,اصفهان,5,8
2452,یکتاسه,تبریز,5,54
2453,فورکا کالا,نطنز,5,52
2454,پایا تلکام,تهران,4,56
2455,فرتاک مال,تهران,5,47
2456,پلازا دیجیتال,تهران,5,75
